score_stratum,n,mean_gop,std_gop,mean_human,pcc,scc,mae,mse,reported,n_utt,n_speakers
Low,16002,6.190903646009383,0.6496062078457128,1.7295213098362707,0.3630217447035411,0.3510028034794639,0.31930705314942215,0.2754853527599874,True,840,42
Mid,16537,6.441451125373616,0.6131200713242018,1.9374856382657073,0.2279597652342485,0.23764625774722564,0.1569931392675745,0.05033054098668089,True,920,46
High,14830,6.65640557148291,0.6171912729466065,1.9614699932569115,0.2065857791839803,0.20612997014685386,0.11717099935591992,0.030776916565419102,True,740,37
