speaker,n,mean_gop,std_gop,mean_human,pcc,scc,mae,mse,reported,age,n_utt
0003,283,6.410914018381611,0.5290571170848181,1.9356890459363956,0.1728855974093905,0.24585259584530944,0.16883647748235223,0.061570397604816404,True,6,20
0024,478,6.8804230620172735,0.6789956214289443,1.9723849372384936,0.1573943134043106,0.12997946183602346,0.09253304414881602,0.027339751349473116,True,25,20
0044,280,6.0057965789522445,0.558791309286382,1.8392857142857142,0.2768070949657379,0.2569026798046826,0.24629493007145783,0.11435953589272038,True,6,20
0049,259,6.278777133543979,0.5630786421586926,1.9073359073359073,0.2885885017445259,0.2926211041866653,0.19966264293389338,0.07385699088897102,True,7,20
0092,284,6.32818732798939,0.5421286076288031,1.9394366197183097,0.26506121643982417,0.2149855286816483,0.16774107505494198,0.050046609529061925,True,6,20
0093,271,6.280053863666154,0.5700043537577167,1.943911439114391,0.28634407048882216,0.1994041536558558,0.17259852379407384,0.0486184361905351,True,6,20
0094,280,6.511896846975599,0.5697361832454511,1.9585714285714289,0.309080833175117,0.2993335934569518,0.13342970594183337,0.03128875764429686,True,6,20
0096,246,6.3284718253748204,0.5655209756486409,1.9008130081300816,0.2605279115524701,0.35704369333879155,0.17279007693022894,0.06294038567408353,True,6,20
0111,296,6.116880093071912,0.49678275857131043,1.9067567567567567,0.21710835580161578,0.21748386047362306,0.21339493991100084,0.06683864645558701,True,6,20
0112,299,6.035343579225317,0.5260200472562384,1.7745819397993312,0.24048297712296357,0.28676781424128456,0.2941370433934051,0.1770173594227121,True,6,20
0113,271,6.011147910818402,0.5089441938518593,1.932841328413284,0.3175358280502838,0.3703113086809397,0.20920782683569217,0.05816740262711018,True,6,20
0114,288,6.312037583854464,0.5376270790792812,1.9569444444444448,0.2999666894741321,0.2259271149967761,0.17070595997151314,0.04852953921647226,True,6,20
0120,454,6.588443963013032,0.5434703124685099,1.9594713656387666,0.1658384096028503,0.21806128057073776,0.12922919715136688,0.03697650306372283,True,19,20
0122,253,6.056711924405908,0.5637618865569692,1.832411067193676,0.20409026047376805,0.2168050492480511,0.24567727129866382,0.11392349746377012,True,6,20
0133,294,6.430848741206993,0.5717183080918383,1.9081632653061225,0.2818164209949011,0.27023824310098987,0.18472099362044284,0.08315422662791515,True,7,20
0149,295,6.444063141386388,0.5536861123983013,1.905762711864407,0.22039654479102064,0.23567746928959155,0.18125961856280215,0.07930759968536928,True,7,20
0157,459,6.841601280345377,0.5145897091743824,1.977342047930283,0.18076807496170533,0.09493564357205322,0.08246654828118559,0.015658869478401425,True,21,20
0306,455,6.385628232851134,0.6986690370497955,1.7982417582417582,0.2819218870038746,0.3379193006911619,0.24468906842002933,0.16607332979739334,True,21,20
0457,436,6.34414371547349,0.6080860623627355,1.8573394495412843,0.37339247999684433,0.42037117368953153,0.18768661522327335,0.08517587010407843,True,21,20
0461,387,6.421673020651174,0.5820105675222687,1.8785529715762275,0.33398611522707217,0.25168303460916897,0.19343418782176366,0.08748036022449963,True,23,20
0563,417,6.440665214181804,0.637411808588217,1.9208633093525183,0.3391587632057025,0.2938167208707363,0.16022390299110803,0.05208046032906958,True,22,20
0567,356,6.281427215994074,0.5426829978841834,1.8353932584269663,0.18063676238348098,0.24849547055821417,0.23390163794922725,0.12784610158442883,True,21,20
0736,401,6.266201005017669,0.6021854718924092,1.8374064837905235,0.22911507778090676,0.24502204391593593,0.23848047463661814,0.1299807948184457,True,21,20
0765,461,6.275245557379567,0.5677681817403516,1.9010845986984815,0.21316420337064731,0.20980811512122943,0.19990264051560358,0.07939851985662648,True,20,20
0811,448,6.769136119633913,0.5949837482429795,1.9620535714285714,0.28003515812806967,0.17777635250453327,0.10157265909984178,0.025402886099878254,True,20,20
0981,400,6.316002366542816,0.6061488750590843,1.9375000000000002,0.25075441518872016,0.3313907540862084,0.16790778545769697,0.04880823371916621,True,25,20
1030,417,6.74941121588508,0.6211967160893352,1.9726618705035972,0.18805413406128077,0.14723935063585886,0.10097141538636722,0.02087296435815047,True,27,20
1037,407,6.915481430306774,0.6412938565220757,1.9734643734643735,0.21793484368181398,0.22665317009764957,0.0783501910946752,0.01712369208095952,True,35,20
1039,381,6.789123277338784,0.6785759449087471,1.9763779527559056,0.2804187754339079,0.3166740453112711,0.0903135498353299,0.020308339049328536,True,38,20
1046,289,6.162969891175266,0.6134921984196056,1.8622837370242216,0.26143778766590764,0.2880249667452001,0.21711684477427534,0.09291681531331113,True,7,20
1050,311,6.538273584421042,0.6723673027181678,1.915755627009646,0.2757990365699423,0.33885334947946416,0.14742642026213562,0.05554596362999533,True,8,20
1061,295,6.251443964748059,0.5754131278341348,1.928813559322034,0.1705958053257428,0.2712926143460268,0.1882320965099589,0.06553520468084081,True,7,20
1075,274,6.191214589306908,0.5239184426540817,1.94014598540146,0.2720616593837449,0.32219279585418165,0.18896646616312285,0.04980617859136509,True,7,20
1076,292,6.158535983464489,0.6113382115515524,1.8123287671232877,0.2647142737908656,0.3885437916991471,0.23861057771615637,0.12174335129567,True,7,20
1099,398,6.849289030285936,0.5940577403708472,1.9552763819095478,0.2787020410131414,0.2337514095786224,0.08992811839452908,0.020024361764162012,True,43,20
1109,435,6.469511279840579,0.610879590757129,1.9466666666666668,0.18905867553551786,0.21091471548657836,0.1419518595328762,0.03493700542084148,True,30,20
1135,457,6.381231407628801,0.702670965733339,1.8980306345733045,0.33592059226072807,0.3455209400803764,0.18011383146705262,0.07450296447294377,True,25,20
1156,464,6.7353010095399,0.6350327865508804,1.975,0.2236820767911168,0.21300965800625207,0.09813472574224638,0.02051284429799116,True,33,20
1181,415,6.22611505094781,0.6394972817932587,1.863132530120482,0.268306006668441,0.2847170156823676,0.21351964998321954,0.09194243796038852,True,23,20
1186,370,6.470783037752718,0.5828534475010957,1.8194594594594595,0.2244323223547793,0.2586129758273441,0.2141856329838748,0.11688276235276246,True,23,20
1228,413,6.4219876074617765,0.6541574806897629,1.8861985472154963,0.3318034402253683,0.3122121635181681,0.17369294390484025,0.07268641774919313,True,26,20
1292,421,6.594793055799398,0.6530921716187014,1.9586698337292159,0.3191604609119057,0.25690557959056987,0.12431626323989635,0.031301139101879094,True,37,20
1293,416,6.786552464732757,0.6254529041871525,1.9682692307692309,0.27034256206103,0.19115630592716518,0.093161443726951,0.020772492228588006,True,32,20
1334,416,6.763759425053229,0.6532116296072988,1.9197115384615384,0.2502910473493096,0.22650074241483328,0.12357015697281551,0.040109160117183684,True,29,20
1404,325,5.784307822447556,0.658350996967647,1.0763076923076922,0.5353923086768325,0.530455841428725,0.7996380830449134,1.0845073926627373,True,7,20
1408,362,6.372561793300987,0.5524555903318171,1.9524861878453037,0.19389943133483287,0.2368768643614285,0.16493011650587303,0.052950083626117785,True,22,20
1420,424,6.658738348843916,0.6759688857998578,1.9485849056603775,0.2567087814337434,0.20796361062212781,0.12073814028511211,0.03291534492888909,True,25,20
1422,299,6.047102701703841,0.5728097341182764,1.3331103678929768,0.38007948572337213,0.4019863111566622,0.6398958369657226,0.8272978020004141,True,7,20
1465,304,6.16390251015362,0.4459666779954871,1.926315789473684,0.20387668186959085,0.14557987537443776,0.2167682283599172,0.07400276757539155,True,8,20
1469,354,6.465202272948572,0.5234700253631233,1.9762711864406781,0.08947486107434059,0.09620079523047885,0.14280361772961103,0.03393441524364839,True,6,20
1501,293,6.371387193634241,0.6586710400967991,1.8996587030716725,0.26597491483702507,0.28799542106997683,0.18614129140746846,0.07599844901795948,True,7,20
1502,318,6.297784380942771,0.5081164780324681,1.889937106918239,0.21997096301674762,0.19913521091074587,0.20446094736714665,0.08580679677432554,True,7,20
1503,329,6.4406591896590495,0.6110976918881036,1.884498480243161,0.2527682738654302,0.25419234182313943,0.17914568737652453,0.07189104544094801,True,7,20
2002,404,6.683433054697396,0.5690949222993644,1.9702970297029705,0.07791138543472417,0.03434602606050276,0.11302093513614653,0.025113200546213247,True,28,20
2007,324,6.478602234228157,0.5538022551489553,1.9462962962962964,0.13953468653844092,0.13839698913639173,0.15376396770581832,0.04670563576269,True,8,20
2014,335,6.265807742503152,0.4983294105593449,1.9307462686567163,0.1886504455299412,0.18568097866441005,0.1788697289020274,0.048725710505242784,True,9,20
2016,431,6.671533833523638,0.6452543903299026,1.9735498839907193,0.22529015345733958,0.1967550288709305,0.10940588751396095,0.024164394074221215,True,19,20
2027,296,6.210218395735766,0.5598053362777953,1.9222972972972974,0.16033071932374632,0.1838858329132747,0.20222702620735752,0.07744553590244473,True,8,20
2030,308,6.250445822616676,0.5224075672212177,1.922077922077922,0.1593761749930738,0.2525881839525701,0.20316796953016963,0.08949721952840274,True,8,20
2031,394,6.566736021622789,0.5712092352521265,1.9111675126903553,0.27161490199509614,0.2930308027203976,0.15103699595615794,0.06251952834374858,True,21,20
2112,462,6.565935542573144,0.6106763549512566,1.9679653679653681,0.14173487487037723,0.0955981584853192,0.1338582233151949,0.033031573545558246,True,20,20
2116,435,6.662313464592243,0.5772343103646012,1.9806896551724138,0.16668809394992615,0.17693776953782211,0.1078118265956526,0.02518320134179177,True,20,20
2252,404,6.622385289409373,0.6560131482217809,1.9643564356435648,0.2478484915999561,0.25553622823370453,0.11550137462536049,0.02526561309964175,True,20,20
2327,400,6.788984462022781,0.6129923948088226,1.973,0.23737751500426427,0.2245299362587145,0.09343606022281384,0.01809144594475306,True,22,20
2355,455,6.687646793533157,0.6253047200375542,1.9503296703296702,0.22328131621813224,0.1934168050512538,0.11968544801895423,0.0319566179719575,True,20,20
